TIME,V(OUT),V(IN)
4.38050958e-10,4.72289217e-03,7.00000000e-01
4.39252441e-10,1.62871807e-03,7.00000000e-01
4.41655408e-10,7.31369564e-06,7.00000000e-01
4.43818078e-10,3.99366294e-07,7.00000000e-01
4.48143418e-10,-6.97906799e-08,7.00000000e-01
4.52468758e-10,6.53844557e-08,7.00000000e-01
4.61119439e-10,1.80051379e-08,7.00000000e-01
4.78420800e-10,4.81302359e-08,7.00000000e-01
5.08420800e-10,2.40827082e-08,7.00000000e-01
5.10000000e-10,3.28872041e-08,7.00000000e-01
5.10062500e-10,-4.51643292e-03,6.95625000e-01
5.10125000e-10,-8.80948240e-03,6.91250000e-01
5.10250000e-10,-1.69996226e-02,6.82500000e-01
5.10500000e-10,-3.17335998e-02,6.65000000e-01
5.10750000e-10,-4.51747705e-02,6.47500000e-01
5.11250000e-10,-7.12127853e-02,6.12500000e-01
5.11750000e-10,-9.77739739e-02,5.77500000e-01
5.12250000e-10,-1.25467572e-01,5.42500000e-01
5.12750000e-10,-1.54210525e-01,5.07500000e-01
5.13750000e-10,-2.13971083e-01,4.37500000e-01
5.15750000e-10,-3.39075886e-01,2.97500000e-01
5.17750000e-10,-4.68231002e-01,1.57500000e-01
5.18536099e-10,-5.18246609e-01,1.02473055e-01
5.19322198e-10,-5.65713866e-01,4.74461099e-02
5.19424792e-10,-5.71123807e-01,4.02645672e-02
5.19629979e-10,-5.81223364e-01,2.59014816e-02
5.19835166e-10,-5.89389186e-01,1.15383960e-02
5.20000000e-10,-5.94134337e-01,4.21884749e-15
5.20020519e-10,-5.92866553e-01,0.00000000e+00
5.20041037e-10,-5.91600199e-01,0.00000000e+00
5.20082075e-10,-5.89069484e-01,0.00000000e+00
5.20164150e-10,-5.84024108e-01,0.00000000e+00
5.20328299e-10,-5.73991771e-01,0.00000000e+00
5.20656598e-10,-5.54129960e-01,0.00000000e+00
5.21313196e-10,-5.15097486e-01,0.00000000e+00
5.22626393e-10,-4.39449306e-01,0.00000000e+00
5.23939589e-10,-3.66765019e-01,0.00000000e+00
5.25252786e-10,-2.96831674e-01,0.00000000e+00
5.26565982e-10,-2.29483518e-01,0.00000000e+00
5.27879178e-10,-1.64570260e-01,0.00000000e+00
5.29192375e-10,-1.01954091e-01,0.00000000e+00
5.30505571e-10,-4.15084647e-02,0.00000000e+00
5.31818768e-10,1.68828599e-02,0.00000000e+00
5.33131964e-10,7.33265990e-02,0.00000000e+00
5.34445160e-10,1.27920545e-01,0.00000000e+00
5.35758357e-10,1.80753959e-01,0.00000000e+00
5.37071553e-10,2.31907690e-01,0.00000000e+00
5.38384750e-10,2.81453875e-01,0.00000000e+00
5.39697946e-10,3.29454944e-01,0.00000000e+00
5.41011142e-10,3.75961333e-01,0.00000000e+00
5.42324339e-10,4.21006549e-01,0.00000000e+00
5.43637535e-10,4.64596301e-01,0.00000000e+00
5.44950731e-10,5.06682982e-01,0.00000000e+00
5.46263928e-10,5.47100384e-01,0.00000000e+00
5.47577124e-10,5.85385713e-01,0.00000000e+00
5.48890321e-10,6.20339300e-01,0.00000000e+00
5.50203517e-10,6.49610833e-01,0.00000000e+00
5.51516713e-10,6.70992025e-01,0.00000000e+00
5.52698590e-10,6.83464779e-01,0.00000000e+00
5.53880467e-10,6.90968803e-01,0.00000000e+00
5.55062344e-10,6.95190753e-01,0.00000000e+00
5.56244220e-10,6.97475609e-01,0.00000000e+00
5.58607974e-10,6.99431907e-01,0.00000000e+00
5.60971727e-10,6.99873518e-01,0.00000000e+00
5.65699235e-10,7.00014696e-01,0.00000000e+00
5.70426742e-10,6.99997822e-01,0.00000000e+00
5.79881756e-10,7.00000929e-01,0.00000000e+00
5.98791784e-10,6.99998495e-01,0.00000000e+00
6.28791784e-10,7.00000189e-01,0.00000000e+00
6.58791784e-10,6.99998865e-01,0.00000000e+00
6.88791784e-10,6.99999898e-01,0.00000000e+00
7.00000000e-10,6.99999217e-01,0.00000000e+00
7.00062500e-10,7.04679721e-01,4.37500000e-03
7.00125000e-10,7.09194432e-01,8.75000000e-03
7.00250000e-10,7.17905270e-01,1.75000000e-02
7.00500000e-10,7.33929639e-01,3.50000000e-02
7.00750000e-10,7.48683721e-01,5.25000000e-02
7.01250000e-10,7.76697800e-01,8.75000000e-02
7.01750000e-10,8.04370466e-01,1.22500000e-01
7.02750000e-10,8.61443556e-01,1.92500000e-01
7.03750000e-10,9.21045155e-01,2.62500000e-01
7.04750000e-10,9.82500403e-01,3.32500000e-01
7.06750000e-10,1.10880281e+00,4.72500000e-01
7.07572137e-10,1.16180386e+00,5.30049612e-01
7.08394275e-10,1.21452179e+00,5.87599224e-01
7.08998813e-10,1.25037119e+00,6.29916932e-01
7.09295680e-10,1.26630068e+00,6.50697593e-01
7.09592546e-10,1.28076209e+00,6.71478254e-01
7.10000000e-10,1.29237027e+00,7.00000000e-01
7.10059373e-10,1.28853094e+00,7.00000000e-01
7.10109090e-10,1.28531401e+00,7.00000000e-01
7.10208522e-10,1.27886810e+00,7.00000000e-01
7.10407388e-10,1.26598143e+00,7.00000000e-01
7.10805119e-10,1.24028061e+00,7.00000000e-01
7.11600581e-10,1.18942239e+00,7.00000000e-01
7.13191506e-10,1.09034675e+00,7.00000000e-01
7.14782430e-10,9.94744444e-01,7.00000000e-01
7.16373354e-10,9.02441867e-01,7.00000000e-01
7.17964278e-10,8.13286627e-01,7.00000000e-01
7.19555203e-10,7.27141536e-01,7.00000000e-01
7.21146127e-10,6.43884700e-01,7.00000000e-01
7.22737051e-10,5.63410478e-01,7.00000000e-01
7.24327976e-10,4.85631720e-01,7.00000000e-01
7.25918900e-10,4.10484411e-01,7.00000000e-01
7.27509824e-10,3.37937507e-01,7.00000000e-01
7.29100748e-10,2.68016158e-01,7.00000000e-01
7.30691673e-10,2.00868708e-01,7.00000000e-01
7.32282597e-10,1.37036562e-01,7.00000000e-01
7.33873521e-10,7.89227121e-02,7.00000000e-01
7.35464446e-10,3.45130662e-02,7.00000000e-01
7.36849474e-10,1.28207689e-02,7.00000000e-01
7.38050958e-10,4.72289217e-03,7.00000000e-01
7.39252441e-10,1.62871807e-03,7.00000000e-01
7.41655408e-10,7.31369564e-06,7.00000000e-01
7.43818078e-10,3.99366295e-07,7.00000000e-01
7.48143418e-10,-6.97906803e-08,7.00000000e-01
7.52468758e-10,6.53844561e-08,7.00000000e-01
7.61119439e-10,1.80051375e-08,7.00000000e-01
7.78420800e-10,4.81302363e-08,7.00000000e-01
8.08420800e-10,2.40827079e-08,7.00000000e-01
8.10000000e-10,3.28872045e-08,7.00000000e-01
8.10062500e-10,-4.51643292e-03,6.95625000e-01
8.10125000e-10,-8.80948240e-03,6.91250000e-01
8.10250000e-10,-1.69996226e-02,6.82500000e-01
8.10500000e-10,-3.17335998e-02,6.65000000e-01
8.10750000e-10,-4.51747705e-02,6.47500000e-01
8.11250000e-10,-7.12127853e-02,6.12500000e-01
8.11750000e-10,-9.77739739e-02,5.77500000e-01
8.12250000e-10,-1.25467572e-01,5.42500000e-01
8.12750000e-10,-1.54210525e-01,5.07500000e-01
8.13750000e-10,-2.13971083e-01,4.37500000e-01
8.15750000e-10,-3.39075886e-01,2.97500000e-01
8.17750000e-10,-4.68231002e-01,1.57500000e-01
8.18536099e-10,-5.18246609e-01,1.02473055e-01
8.19322198e-10,-5.65713866e-01,4.74461099e-02
8.19424792e-10,-5.71123807e-01,4.02645672e-02
8.19629979e-10,-5.81223364e-01,2.59014816e-02
