TIME,V(OUT)
4.30185117e-10,-5.64742098e-02
4.31458256e-10,6.54722173e-04
4.32731396e-10,5.59258197e-02
4.34004536e-10,1.09430554e-01
4.35277675e-10,1.61252777e-01
4.36550815e-10,2.11468909e-01
4.37823955e-10,2.60147837e-01
4.39097094e-10,3.07350335e-01
4.40370234e-10,3.53127675e-01
4.41643373e-10,3.97518655e-01
4.42916513e-10,4.40543329e-01
4.44189653e-10,4.82189176e-01
4.45462792e-10,5.22378292e-01
4.46735932e-10,5.60883050e-01
4.48009071e-10,5.97103595e-01
4.49282211e-10,6.29601005e-01
4.50555351e-10,6.56021448e-01
4.51701176e-10,6.73249485e-01
4.52847002e-10,6.84585050e-01
4.53992828e-10,6.91446046e-01
4.55138653e-10,6.95357880e-01
4.56284479e-10,6.97513054e-01
4.58576130e-10,6.99402820e-01
4.60867781e-10,6.99858290e-01
4.65451084e-10,7.00037405e-01
4.70034387e-10,6.99995510e-01
4.79200992e-10,7.00002869e-01
4.88367597e-10,6.99998012e-01
4.92950900e-10,6.99999033e-01
4.95242551e-10,6.99999261e-01
4.99825853e-10,6.99999465e-01
5.00398766e-10,6.96291594e-01
5.00971679e-10,6.90584943e-01
5.02117505e-10,6.71558683e-01
5.03148748e-10,6.49541723e-01
5.04179991e-10,6.24875958e-01
5.06242477e-10,5.71086370e-01
5.08304963e-10,5.15371493e-01
5.08939161e-10,4.98384727e-01
5.10207557e-10,4.64723860e-01
5.12744348e-10,3.99722639e-01
5.15281140e-10,3.43099102e-01
5.15491031e-10,3.39581075e-01
5.15700923e-10,3.36352523e-01
5.16120707e-10,3.31539625e-01
5.16540491e-10,3.28743421e-01
5.16960274e-10,3.27747953e-01
5.17380058e-10,3.28358823e-01
5.17799842e-10,3.30401085e-01
5.18219625e-10,3.33717314e-01
5.18639409e-10,3.38165871e-01
5.19059193e-10,3.43619337e-01
5.19898760e-10,3.57045761e-01
5.20738327e-10,3.73269432e-01
5.21577895e-10,3.91652497e-01
5.22417462e-10,4.11678076e-01
5.23257029e-10,4.32926176e-01
5.24936164e-10,4.77652295e-01
5.28294433e-10,5.69056473e-01
5.28735887e-10,5.80816253e-01
5.29618794e-10,6.03727574e-01
5.31384608e-10,6.43836730e-01
5.32911582e-10,6.69103546e-01
5.34180726e-10,6.82554477e-01
5.35322955e-10,6.89925093e-01
5.36465184e-10,6.94265330e-01
5.37607413e-10,6.96741386e-01
5.39891872e-10,6.99023344e-01
5.42176330e-10,6.99664223e-01
5.46745247e-10,6.99964007e-01
5.51314163e-10,6.99980999e-01
5.60451996e-10,7.00001448e-01
5.69589830e-10,6.99997817e-01
5.87865496e-10,7.00000463e-01
6.24416829e-10,6.99998619e-01
6.84416829e-10,7.00000177e-01
7.00000000e-10,6.99998994e-01
7.00062500e-10,7.04679506e-01
7.00125000e-10,7.09194225e-01
7.00187500e-10,7.13618159e-01
7.00312500e-10,7.22055359e-01
7.00562500e-10,7.37694534e-01
7.00812500e-10,7.52236979e-01
7.01312500e-10,7.80116200e-01
7.01812500e-10,8.07836596e-01
7.02812500e-10,8.65082549e-01
7.03812500e-10,9.24817481e-01
7.04812500e-10,9.86371887e-01
7.06812500e-10,1.11279822e+00
7.07609375e-10,1.16417625e+00
7.08406250e-10,1.21526773e+00
7.08971316e-10,1.24899776e+00
7.09265973e-10,1.26503646e+00
7.09560630e-10,1.27972417e+00
7.10000000e-10,1.29258441e+00
7.10058931e-10,1.28877368e+00
7.10105552e-10,1.28575676e+00
7.10198794e-10,1.27971217e+00
7.10385279e-10,1.26762671e+00
7.10758247e-10,1.24351428e+00
7.11504183e-10,1.19574923e+00
7.12996056e-10,1.10253097e+00
7.14487929e-10,1.01238653e+00
7.15979802e-10,9.25169996e-01
7.17471675e-10,8.40752944e-01
7.18963548e-10,7.59018765e-01
7.20455421e-10,6.79862562e-01
7.21947294e-10,6.03191620e-01
7.23439167e-10,5.28926565e-01
7.24931040e-10,4.57003735e-01
7.26422913e-10,3.87379836e-01
7.27914786e-10,3.20041626e-01
7.29406659e-10,2.55028647e-01
7.30898532e-10,1.92498538e-01
7.32390405e-10,1.32984006e-01
7.33882278e-10,7.86804379e-02
7.35374150e-10,3.64218474e-02
7.36680556e-10,1.46158524e-02
7.37807306e-10,5.85457270e-03
7.38934057e-10,2.20077889e-03
7.41187558e-10,8.51171254e-05
7.43215708e-10,7.03843818e-06
7.47272010e-10,-1.77431134e-06
7.51328312e-10,5.02763594e-07
7.59440915e-10,-2.19614220e-07
7.75666122e-10,2.24485437e-07
8.08116536e-10,-1.28206880e-07
8.68116536e-10,1.85987414e-07
9.28116536e-10,-1.04131121e-07
9.88116536e-10,1.63756360e-07
1.00000000e-09,-5.03840600e-08
