TIME,V(OUT),V(IN)
2.16206418e-10,-3.93831031e-02,3.41422383e-01
2.16645989e-10,-2.19668713e-03,3.01861012e-01
2.17085560e-10,4.85311434e-02,2.62299641e-01
2.17525130e-10,1.12021515e-01,2.22738271e-01
2.17964701e-10,1.86902998e-01,1.83176900e-01
2.18404272e-10,2.70188532e-01,1.43615529e-01
2.18843843e-10,3.58660703e-01,1.04054158e-01
2.19722984e-10,5.45739504e-01,2.49314161e-02
2.20000000e-10,6.06493886e-01,6.66133815e-16
2.20045013e-10,6.18174965e-01,0.00000000e+00
2.20079389e-10,6.26912747e-01,0.00000000e+00
2.20148142e-10,6.44018975e-01,0.00000000e+00
2.20285647e-10,6.76039440e-01,0.00000000e+00
2.20423152e-10,7.05109197e-01,0.00000000e+00
2.20560657e-10,7.31231043e-01,0.00000000e+00
2.20698162e-10,7.54472090e-01,0.00000000e+00
2.20835667e-10,7.74955591e-01,0.00000000e+00
2.20973171e-10,7.92852401e-01,0.00000000e+00
2.21110676e-10,8.08362176e-01,0.00000000e+00
2.21248181e-10,8.21707472e-01,0.00000000e+00
2.21523191e-10,8.42917924e-01,0.00000000e+00
2.21798201e-10,8.58195651e-01,0.00000000e+00
2.22073211e-10,8.69177909e-01,0.00000000e+00
2.22348221e-10,8.77131179e-01,0.00000000e+00
2.22898241e-10,8.87391879e-01,0.00000000e+00
2.23998281e-10,8.96484694e-01,0.00000000e+00
2.26198361e-10,9.00203377e-01,0.00000000e+00
2.28178433e-10,8.99981353e-01,0.00000000e+00
2.30158505e-10,9.00005362e-01,0.00000000e+00
2.32138576e-10,8.99999106e-01,0.00000000e+00
2.36098720e-10,8.99999665e-01,0.00000000e+00
2.44019007e-10,8.99999462e-01,0.00000000e+00
2.59859582e-10,8.99999569e-01,0.00000000e+00
2.89859582e-10,8.99999491e-01,0.00000000e+00
2.97359582e-10,8.99999518e-01,0.00000000e+00
2.98297082e-10,8.99999521e-01,0.00000000e+00
2.99349765e-10,8.99999523e-01,0.00000000e+00
2.99876106e-10,8.99999524e-01,0.00000000e+00
2.99955513e-10,8.99999524e-01,0.00000000e+00
3.00114327e-10,8.98002691e-01,0.00000000e+00
3.00273140e-10,8.91647819e-01,0.00000000e+00
3.00431954e-10,8.80896514e-01,0.00000000e+00
3.00590768e-10,8.66340073e-01,0.00000000e+00
3.00749581e-10,8.48475441e-01,0.00000000e+00
3.00908395e-10,8.27951782e-01,0.00000000e+00
3.01226022e-10,7.81940080e-01,0.00000000e+00
3.01861277e-10,6.80537247e-01,0.00000000e+00
3.03131786e-10,4.63462517e-01,0.00000000e+00
3.04402296e-10,2.54972361e-01,0.00000000e+00
3.04559732e-10,2.31663140e-01,0.00000000e+00
3.04717168e-10,2.08650044e-01,0.00000000e+00
3.05032040e-10,1.64865106e-01,0.00000000e+00
3.05346913e-10,1.24198003e-01,0.00000000e+00
3.05661785e-10,8.67902181e-02,0.00000000e+00
3.05976657e-10,5.27377261e-02,0.00000000e+00
3.06291530e-10,2.20791364e-02,0.00000000e+00
3.06606402e-10,-5.21525437e-03,0.00000000e+00
3.06921274e-10,-2.92434380e-02,0.00000000e+00
3.07236146e-10,-5.01677716e-02,0.00000000e+00
3.07551019e-10,-6.82010076e-02,0.00000000e+00
3.07865891e-10,-8.35942764e-02,0.00000000e+00
3.08180763e-10,-9.66199700e-02,0.00000000e+00
3.08495635e-10,-1.07558957e-01,0.00000000e+00
3.09125380e-10,-1.24360927e-01,0.00000000e+00
3.09755125e-10,-1.35817804e-01,0.00000000e+00
3.10384869e-10,-1.43539177e-01,0.00000000e+00
3.11014614e-10,-1.48720683e-01,0.00000000e+00
3.12274103e-10,-1.54698844e-01,0.00000000e+00
3.14793081e-10,-1.58849952e-01,0.00000000e+00
3.14950517e-10,-1.58911133e-01,0.00000000e+00
3.15265389e-10,-1.52609274e-01,0.00000000e+00
3.15580262e-10,-1.34262298e-01,0.00000000e+00
3.15863647e-10,-1.09362029e-01,0.00000000e+00
3.16147032e-10,-7.86234559e-02,0.00000000e+00
3.16430417e-10,-4.34117187e-02,0.00000000e+00
3.16713802e-10,-4.75499657e-03,0.00000000e+00
3.16997187e-10,3.64908659e-02,0.00000000e+00
3.17563957e-10,1.23546780e-01,0.00000000e+00
3.18697497e-10,3.00749377e-01,0.00000000e+00
3.19831037e-10,4.68854103e-01,0.00000000e+00
3.20851224e-10,6.02169619e-01,0.00000000e+00
3.21718897e-10,6.93701824e-01,0.00000000e+00
3.22446802e-10,7.50435557e-01,0.00000000e+00
3.23101916e-10,7.86623156e-01,0.00000000e+00
3.23757031e-10,8.12095153e-01,0.00000000e+00
3.24412145e-10,8.30169363e-01,0.00000000e+00
3.25067260e-10,8.43369519e-01,0.00000000e+00
3.25722375e-10,8.53365112e-01,0.00000000e+00
3.27032604e-10,8.67596693e-01,0.00000000e+00
3.29653062e-10,8.83707379e-01,0.00000000e+00
3.32273520e-10,8.91531568e-01,0.00000000e+00
3.34893979e-10,8.95621594e-01,0.00000000e+00
3.40134895e-10,8.98906320e-01,0.00000000e+00
3.45375812e-10,8.99666831e-01,0.00000000e+00
3.55857645e-10,9.00008534e-01,0.00000000e+00
3.66339478e-10,8.99977283e-01,0.00000000e+00
3.87303144e-10,9.00017005e-01,0.00000000e+00
4.00000000e-10,8.99986358e-01,0.00000000e+00
4.00062500e-10,9.02876358e-01,5.62500000e-03
4.00125000e-10,9.05542007e-01,1.12500000e-02
4.00250000e-10,9.10458625e-01,2.25000000e-02
4.00500000e-10,9.18377377e-01,4.50000000e-02
4.00750000e-10,9.24457005e-01,6.75000000e-02
4.01250000e-10,9.33748294e-01,1.12500000e-01
4.01750000e-10,9.41343510e-01,1.57500000e-01
4.02750000e-10,9.58008125e-01,2.47500000e-01
4.03750000e-10,9.79944243e-01,3.37500000e-01
4.04750000e-10,1.00359867e+00,4.27500000e-01
4.05291759e-10,1.00900360e+00,4.76258277e-01
4.05581279e-10,1.00868051e+00,5.02315114e-01
4.05870799e-10,1.00634744e+00,5.28371951e-01
4.06449840e-10,9.87644888e-01,5.80485625e-01
4.06963323e-10,9.53443857e-01,6.26699068e-01
4.07425457e-10,9.07360824e-01,6.68291166e-01
4.07887592e-10,8.46017733e-01,7.09883264e-01
4.08349726e-10,7.68828943e-01,7.51475363e-01
4.08811861e-10,6.77101685e-01,7.93067461e-01
4.09273995e-10,5.74061973e-01,8.34659559e-01
4.09736130e-10,4.61933033e-01,8.76251657e-01
4.10000000e-10,3.94343729e-01,9.00000000e-01
4.10022540e-10,3.87593222e-01,9.00000000e-01
4.10041913e-10,3.81828526e-01,9.00000000e-01
4.10080659e-10,3.70354019e-01,9.00000000e-01
4.10158150e-10,3.47743799e-01,9.00000000e-01
4.10313133e-10,3.03942769e-01,9.00000000e-01
4.10623100e-10,2.23130103e-01,9.00000000e-01
4.10933066e-10,1.54411658e-01,9.00000000e-01
4.11243032e-10,1.01341211e-01,9.00000000e-01
4.11552999e-10,6.41928929e-02,9.00000000e-01
4.11862965e-10,4.00563368e-02,9.00000000e-01
4.12172931e-10,2.49648495e-02,9.00000000e-01
4.12482898e-10,1.56012371e-02,9.00000000e-01
4.13102830e-10,5.80647005e-03,9.00000000e-01
4.13722763e-10,2.16698913e-03,9.00000000e-01
4.14342696e-10,8.09505863e-04,9.00000000e-01
4.15582561e-10,3.75622569e-05,9.00000000e-01
4.16822426e-10,1.90082055e-06,9.00000000e-01
4.19302157e-10,-3.80070671e-07,9.00000000e-01
4.21781888e-10,3.45418697e-07,9.00000000e-01
4.26741349e-10,4.40002632e-08,9.00000000e-01
4.36660272e-10,2.49415502e-07,9.00000000e-01
4.56498117e-10,7.66096953e-08,9.00000000e-01
4.86498117e-10,2.34508449e-07,9.00000000e-01
5.10000000e-10,8.85038145e-08,9.00000000e-01
5.10062500e-10,-2.40312413e-03,8.94375000e-01
